Homogeneity,Mean,Energy,Correlation,Contrast,Output
0.969212367,23.30865987,0.501764063,0.931422059,0.127159926,0
0.969014246,23.83214823,0.499676968,0.930763415,0.135003064,0
0.967320772,21.45672607,0.532590138,0.929141838,0.115778186,0
0.967307168,21.39667765,0.532968708,0.928447402,0.11651348,0
0.955929841,24.66107178,0.4754181,0.918587223,0.157077206,0
0.960917075,23.41610718,0.50521966,0.919440843,0.159497549,0
0.96061249,23.93172709,0.497250901,0.915921452,0.168596814,0
0.960342882,24.71558634,0.48191037,0.914049516,0.167647059,0
0.968752553,27.60724894,0.545094435,0.940727194,0.172487745,0
0.971637306,25.1708374,0.485475346,0.944542229,0.126087623,0
0.965064776,38.60475159,0.373569139,0.941893056,0.184528186,0
0.974984864,22.12089539,0.51217693,0.935602777,0.104840686,0
0.975894608,21.87492371,0.516032264,0.937172041,0.101838235,0
0.952158431,29.06930033,0.464006662,0.89587608,0.375796569,0
0.962167075,25.12559001,0.536786415,0.928676428,0.170680147,0
0.962568423,24.78124491,0.541737628,0.928860834,0.168841912,0
0.96166156,25.0298818,0.537195269,0.929979915,0.167984069,0
0.957525531,24.40130615,0.46731426,0.918405122,0.145680147,0
0.957594465,24.84258525,0.463939787,0.918944319,0.147089461,0
0.957446895,25.16101074,0.45799477,0.920295501,0.14620098,0
0.979845355,13.68136597,0.659675615,0.914600071,0.071844363,0
0.981682934,12.87841288,0.677543225,0.908501044,0.072058824,0
0.974391376,21.82821655,0.596455405,0.964291355,0.121001838,0
0.983827541,12.08936564,0.685171482,0.905133354,0.062882966,0
0.951222974,38.66672262,0.377959327,0.939682587,0.215364583,0
0.950621681,39.6145579,0.369178557,0.945011681,0.201593137,0
0.952192862,39.20918274,0.366753841,0.942551763,0.201041667,0
0.955576236,24.27217102,0.46944946,0.916092209,0.153339461,0
0.953804199,30.5167745,0.45581814,0.925966622,0.201256127,0
0.953518689,28.89486694,0.46589934,0.924764883,0.189123775,0
0.953434254,29.21999613,0.462741116,0.926880537,0.187714461,0
0.932000832,42.39312236,0.281330328,0.873082844,0.393872549,0
0.928989226,44.2756958,0.269885606,0.880565876,0.401102941,0
0.926885139,31.00676473,0.392681654,0.793732013,0.626608456,0
0.971100789,28.48740641,0.470205011,0.942260847,0.141115196,0
0.968557386,28.17038472,0.473598506,0.939725508,0.147181373,0
0.96221252,38.91597493,0.342123875,0.94645998,0.148498775,0
0.964904769,32.38320414,0.414974959,0.940922493,0.158425245,0
0.976494843,21.38201904,0.527959752,0.941245723,0.097977941,0
0.975624745,21.01997884,0.536271119,0.938741454,0.102573529,0
0.950317606,29.68860881,0.452748526,0.892230509,0.387898284,0
0.96095767,25.75650533,0.526674127,0.931156545,0.16875,0
0.957590635,24.43693034,0.468246305,0.918429282,0.1453125,0
0.957894199,24.29530843,0.471582148,0.918366106,0.146997549,0
